hotel_name,hotel_brand,hotel_grade,hotel_link
AC Hotels by Marriott,Marriott,others,https://ac-hotels.marriott.com/
aloft,Marriott,Boutique & Design,https://aloft-hotels.marriott.com/
Autograph Collection Hotels,Marriott,Boutique & Design,https://autographcollection.marriott.com/
Apartments by Marriott Bonvoy,Marriott,others,https://live-apartments.marriott.com/
City Express Hotels by Marriott Bonvoy,Marriott,others,https://cityexpress.marriott.com/
Courtyard by Marriott,Marriott,Comfortable,https://www.marriott.com/courtyard/travel.mi
Delta Hotels,Marriott,others,https://www.marriott.com/delta-hotels/travel.mi
Design Hotels,Marriott,Boutique & Design,https://www.designhotels.com/
EDITION,Marriott,Luxury,https://www.editionhotels.com/
element by Westin,Marriott,others,https://element-hotels.marriott.com/
Fairfield Inn by Marriott,Marriott,Comfortable,https://www.marriott.com/fairfield-inn/travel.mi
Four Points by Sheraton,Marriott,others,https://www.marriott.com/four-points/travel.mi
Four Points Express by Sheraton,Marriott,others,https://www.marriott.com/marriott-brands/four-points-flex.mi
Gaylord Hotels,Marriott,others,https://gaylordhotels.marriott.com/
JW Marriott Hotels & Resorts,Marriott,Luxury,https://www.marriott.com/jw-marriott-hotels-resorts/travel.mi
Le Meridien,Marriott,others,https://lemeridien.marriott.com/
The Luxury Collection,Marriott,Luxury,https://luxurycollection.marriott.com/
Marriott Hotels & Resorts,Marriott,High-end,https://www.marriott.com/
MGM Collection with Marriott Bonvoy,Marriott,others,https://www.marriott.com/marriott-brands/mgm-collection.mi
Moxy Hotels,Marriott,Boutique & Design,https://www.marriott.com/moxy-hotels/travel.mi
Protea Hotels,Marriott,others,https://www.proteahotels.com/
Renaissance Hotels,Marriott,High-end,https://www.marriott.com/renaissance/travel.mi
Residence Inn by Marriott,Marriott,Comfortable,https://www.marriott.com/residence-inn/travel.mi
The Ritz-Carlton,Marriott,Luxury,https://www.ritzcarlton.com/
Sheraton Hotels & Resorts,Marriott,High-end,https://www.marriott.com/sheraton-hotels-resorts/travel.mi
SpringHill Suites by Marriott,Marriott,Comfortable,https://www.marriott.com/springhill-suites/travel.mi
St. Regis Hotels & Resorts,Marriott,Luxury,https://www.marriott.com/st-regis-hotels-resorts/travel.mi
TownePlace Suites by Marriott,Marriott,Comfortable,https://www.marriott.com/towneplace-suites/travel.mi
Tribute Portfolio,Marriott,Boutique & Design,https://www.marriott.com/tribute-portfolio/travel.mi
W Hotels,Marriott,Luxury,https://www.marriott.com/w-hotels/travel.mi
Westin Hotels & Resorts,Marriott,High-end,https://www.marriott.com/westin-hotels/travel.mi
AmericInn® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/americinn
Baymont® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/baymont
Days Inn® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/days-inn
Dazzler® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/dazzler
Dolce Hotels and Resorts® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/dolce
Esplendor® Boutique Hotels by Wyndham,Wyndham,Boutique & Design,https://www.wyndhamhotels.com/esplendor
Hawthorn Suites® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/hawthorn-suites
Howard Johnson® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/howard-johnson
La Quinta® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/la-quinta
Microtel® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/microtel
Ramada® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/ramada
Super 8® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/super-8
Trademark Collection® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/trademark-collection
Travelodge® by Wyndham,Wyndham,Economy,https://www.wyndhamhotels.com/travelodge
Wingate® by Wyndham,Wyndham,others,https://www.wyndhamhotels.com/wingate
Wyndham Garden,Wyndham,others,https://www.wyndhamhotels.com/wyndham-garden
Wyndham Grand,Wyndham,others,https://www.wyndhamhotels.com/wyndham-grand
Wyndham,Wyndham,others,https://www.wyndhamhotels.com/
Atwell Suites,IHG,others,https://www.ihg.com/atwell-suites
Avid Hotels,IHG,others,https://www.ihg.com/avid-hotels
Candlewood Suites,IHG,others,https://www.ihg.com/candlewood-suites
Crowne Plaza Hotels & Resorts,IHG,High-end,https://www.ihg.com/crowne-plaza
Even,IHG,others,https://www.ihg.com/even-hotels
Holiday Inn Club Vacations,IHG,others,https://www.hiclubvacations.com/
Holiday Inn Express,IHG,Comfortable,https://www.ihg.com/holidayinnexpress
Holiday Inn Hotels & Resorts,IHG,Comfortable,https://www.ihg.com/holidayinn
Hotel Indigo,IHG,others,https://www.ihg.com/hotelindigo
Hualuxe Hotels & Resorts,IHG,others,https://www.ihg.com/hualuxe
InterContinental Hotels & Resorts,IHG,High-end,https://www.ihg.com/intercontinental
Kimpton Hotels & Restaurants,IHG,Boutique & Design,https://www.ihg.com/kimpton-hotels-and-restaurants
Regent,IHG,others,https://www.ihg.com/regent-hotels
Six Senses,IHG,others,https://www.ihg.com/six-senses
Staybridge Suites,IHG,others,https://www.ihg.com/staybridge-suites
Vignette Collection,IHG,Boutique & Design,https://www.ihg.com/vignette-collection
VOCO,IHG,others,https://www.ihg.com/voco
Andaz (Hyatt),Hyatt,others,https://www.hyatt.com/brand/andaz
Grand Hyatt,Hyatt,High-end,https://www.hyatt.com/brand/grand-hyatt
Hyatt Centric,Hyatt,others,https://www.hyatt.com/brand/hyatt-centric
Hyatt Hotels & Resorts,Hyatt,others,https://www.hyatt.com/
Hyatt House,Hyatt,others,https://www.hyatt.com/brand/hyatt-house
Hyatt Place,Hyatt,others,https://www.hyatt.com/brand/hyatt-place
Hyatt Regency,Hyatt,High-end,https://www.hyatt.com/brand/hyatt-regency
Hyatt Zilara,Hyatt,others,https://www.hyatt.com/brand/hyatt-zilara
Hyatt Ziva,Hyatt,others,https://www.hyatt.com/brand/hyatt-ziva
Park Hyatt Hotels,Hyatt,Luxury,https://www.hyatt.com/brand/park-hyatt
Unbound Collection,Hyatt,others,https://www.hyatt.com/brand/unbound-collection
Best Western,Other,others,https://www.bestwestern.com/
Choice Hotels International,Other,others,https://www.choicehotels.com/
Fiesta Americana Hotels & Resorts,Other,others,https://www.fiestaamericana.com/
Millennium Copthrone Collection,Other,others,https://www.millenniumhotels.com/en/millennium-copthorne
Millennium Hotels and Resorts,Other,others,https://www.millenniumhotels.com/
Rocketmiles,Other,others,https://www.rocketmiles.com/
Shangri-La Hotels & Resorts,Other,others,https://www.shangri-la.com/
Shangri-La Circle,Other,others,https://www.shangri-la.com/shangrila-circle
Vrbo,Other,others,https://www.vrbo.com/
